season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2007/08,49413,40,40,7,467,0,0,0,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2008/09,49413,40,40,51,1001,1,0,0,10,0,0,0,0,1,0,3,0,0.0,0.0,0.0,0.0
2009/10,49413,45,41,51,1996,0,0,0,37,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2010/11,49413,45,41,41,1579,1,1,2,33,0,0,0,3,0,0,1,0,0.0,0.0,0.0,0.0
2012/13,49413,45,41,50,1735,1,1,3,34,0,0,0,5,0,0,2,0,0.0,0.0,0.0,0.0
2013/14,49413,50,45,87,2597,0,0,11,37,0,0,0,5,1,0,3,140,0.0,0.0,0.0,0.0
2014/15,49413,50,46,72,1852,1,3,5,27,0,0,0,6,0,0,8,373,0.0,0.0,0.0,0.0
2015/16,49413,50,48,70,1961,0,0,8,24,0,0,0,3,0,0,3,426,0.0,0.0,0.0,0.0
2016/17,49413,50,48,75,1974,3,0,6,36,0,0,0,4,0,0,5,359,471.0,35.7,213.0,72.1
2017/18,49413,45,44,99,2386,3,0,9,32,0,0,0,8,0,0,9,512,712.6,22.4,309.0,104.7
2018/19,49413,45,43,86,2561,1,1,10,37,0,0,0,6,0,0,0,504,560.8,83.0,276.0,92.3
2019/20,49413,50,49,48,1582,1,1,3,23,0,0,0,5,0,0,4,260,384.0,27.7,121.0,53.3
2020/21,49413,45,44,18,551,0,0,2,12,0,0,0,1,0,0,2,97,101.2,11.4,29.0,14.1
