id,first_name,second_name,now_cost,name,club,position,total_points,weighted_points
270,David,de Gea,52,Man Utd,MUN,GKP,131.8,144.86363636363635
280,Dean,Henderson,47,Man Utd,MUN,GKP,102.0,143.33333333333331
509,Tom,Heaton,39,Man Utd,MUN,GKP,84.8,99.57600000000001
183,Francisco,Casilla Cortés,45,Leeds,LEE,GKP,14.0,28.0
199,Illan,Meslier,48,Leeds,LEE,GKP,154.0,308.0
1,Bernd,Leno,45,Arsenal,ARS,GKP,117.0,157.38888888888889
2,Rúnar Alex,Rúnarsson,40,Arsenal,ARS,GKP,1.0,2.0
559,Aaron,Ramsdale,51,Arsenal,ARS,GKP,124.5,186.64285714285714
294,Karl,Darlow,45,Newcastle,NEW,GKP,51.333333333333336,72.45833333333333
295,Martin,Dubravka,44,Newcastle,NEW,GKP,93.75,117.14999999999999
352,Joe,Hart,45,Spurs,TOT,GKP,121.63636363636364,132.0494652406417
353,Hugo,Lloris,54,Spurs,TOT,GKP,130.77777777777777,145.64197530864197
28,Jed,Steer,39,Aston Villa,AVL,GKP,1.5,2.2222222222222223
30,Emiliano,Martínez,55,Aston Villa,AVL,GKP,60.25,81.80555555555554
691,Robin,Olsen,40,Aston Villa,AVL,GKP,25.0,50.0
129,Kepa,Arrizabalaga,46,Chelsea,CHE,GKP,86.0,108.22222222222223
143,Edouard,Mendy,61,Chelsea,CHE,GKP,140.0,280.0
606,Marcus,Bettinelli,40,Chelsea,CHE,GKP,15.0,30.0
170,Jordan,Pickford,49,Everton,EVE,GKP,127.8,153.32800000000003
181,João,Virgínia,40,Everton,EVE,GKP,2.0,4.0
481,Asmir,Begović,40,Everton,EVE,GKP,78.36363636363636,85.65171192443921
200,Kasper,Schmeichel,48,Leicester,LEI,GKP,101.0,113.99176954732509
204,Danny,Ward,40,Leicester,LEI,GKP,6.0,12.0
573,Eldin,Jakupovic,39,Leicester,LEI,GKP,25.75,33.199999999999996
223,Adrián,San Miguel del Castillo,43,Liverpool,LIV,GKP,74.85714285714286,82.64285714285712
231,Alisson,Ramses Becker,60,Liverpool,LIV,GKP,146.0,192.66666666666666
242,Caoimhin,Kelleher,43,Liverpool,LIV,GKP,10.0,20.0
333,Fraser,Forster,44,Southampton,SOU,GKP,70.83333333333333,81.01249999999999
334,Alex,McCarthy,44,Southampton,SOU,GKP,56.42857142857143,66.66964285714286
641,Willy,Caballero,43,Southampton,SOU,GKP,16.714285714285715,18.821428571428573
407,Darren,Randolph,43,West Ham,WHU,GKP,20.6,24.376470588235293
408,Lukasz,Fabianski,50,West Ham,WHU,GKP,79.3076923076923,87.23538461538462
489,Alphonse,Areola,47,West Ham,WHU,GKP,124.0,248.0
146,Vicente,Guaita,46,Crystal Palace,CRY,GKP,130.5,194.66666666666666
156,Jack,Butland,44,Crystal Palace,CRY,GKP,49.833333333333336,58.944444444444436
65,Mathew,Ryan,45,Brighton,BHA,GKP,105.5,128.175
69,Robert,Sánchez,46,Brighton,BHA,GKP,101.0,202.0
427,Rui Pedro,dos Santos Patrício,50,Wolves,WOL,GKP,134.33333333333334,179.8888888888889
452,John,Ruddy,43,Wolves,WOL,GKP,63.166666666666664,71.96666666666665
257,Ederson,Santana de Moraes,61,Man City,MCI,GKP,155.0,193.375
260,Zack,Steffen,44,Man City,MCI,GKP,2.0,4.0
593,Scott,Carson,39,Man City,MCI,GKP,88.2,101.0125
313,Michael,McGovern,39,Norwich,NOR,GKP,11.0,22.0
314,Tim,Krul,45,Norwich,NOR,GKP,90.85714285714286,103.67109634551495
448,Angus,Gunn,40,Norwich,NOR,GKP,38.0,56.1
