id,first_name,second_name,now_cost,name,short_name,position
270,David,de Gea,52,Man Utd,MUN,GKP
280,Dean,Henderson,47,Man Utd,MUN,GKP
509,Tom,Heaton,39,Man Utd,MUN,GKP
183,Francisco,Casilla Cortés,45,Leeds,LEE,GKP
199,Illan,Meslier,48,Leeds,LEE,GKP
490,Kristoffer,Klaesson,43,Leeds,LEE,GKP
1,Bernd,Leno,45,Arsenal,ARS,GKP
2,Rúnar Alex,Rúnarsson,40,Arsenal,ARS,GKP
532,Karl,Hein,40,Arsenal,ARS,GKP
559,Aaron,Ramsdale,51,Arsenal,ARS,GKP
572,Arthur,Okonkwo,39,Arsenal,ARS,GKP
294,Karl,Darlow,45,Newcastle,NEW,GKP
295,Martin,Dubravka,44,Newcastle,NEW,GKP
513,Freddie,Woodman,43,Newcastle,NEW,GKP
514,Mark,Gillespie,39,Newcastle,NEW,GKP
352,Joe,Hart,45,Spurs,TOT,GKP
353,Hugo,Lloris,54,Spurs,TOT,GKP
486,Pierluigi,Gollini,43,Spurs,TOT,GKP
659,Brandon,Austin,40,Spurs,TOT,GKP
28,Jed,Steer,39,Aston Villa,AVL,GKP
30,Emiliano,Martínez,55,Aston Villa,AVL,GKP
596,Viljami,Sinisalo,40,Aston Villa,AVL,GKP
650,Filip,Marschall,40,Aston Villa,AVL,GKP
691,Robin,Olsen,40,Aston Villa,AVL,GKP
129,Kepa,Arrizabalaga,46,Chelsea,CHE,GKP
143,Edouard,Mendy,61,Chelsea,CHE,GKP
606,Marcus,Bettinelli,40,Chelsea,CHE,GKP
170,Jordan,Pickford,49,Everton,EVE,GKP
181,João,Virgínia,40,Everton,EVE,GKP
481,Asmir,Begović,40,Everton,EVE,GKP
571,Andy,Lonergan,40,Everton,EVE,GKP
616,Harry,Tyrer,40,Everton,EVE,GKP
200,Kasper,Schmeichel,48,Leicester,LEI,GKP
204,Danny,Ward,40,Leicester,LEI,GKP
573,Eldin,Jakupovic,39,Leicester,LEI,GKP
223,Adrián,San Miguel del Castillo,43,Liverpool,LIV,GKP
231,Alisson,Ramses Becker,60,Liverpool,LIV,GKP
242,Caoimhin,Kelleher,43,Liverpool,LIV,GKP
656,Marcelo,de Araújo Pitaluga Filho,40,Liverpool,LIV,GKP
333,Fraser,Forster,44,Southampton,SOU,GKP
334,Alex,McCarthy,44,Southampton,SOU,GKP
637,Harry,Lewis,39,Southampton,SOU,GKP
641,Willy,Caballero,43,Southampton,SOU,GKP
407,Darren,Randolph,43,West Ham,WHU,GKP
408,Lukasz,Fabianski,50,West Ham,WHU,GKP
489,Alphonse,Areola,47,West Ham,WHU,GKP
146,Vicente,Guaita,46,Crystal Palace,CRY,GKP
156,Jack,Butland,44,Crystal Palace,CRY,GKP
561,Remi,Matthews,39,Crystal Palace,CRY,GKP
54,Jason,Steele,40,Brighton,BHA,GKP
65,Mathew,Ryan,45,Brighton,BHA,GKP
69,Robert,Sánchez,46,Brighton,BHA,GKP
476,Kjell,Scherpen,45,Brighton,BHA,GKP
688,Thomas,McGill,40,Brighton,BHA,GKP
427,Rui Pedro,dos Santos Patrício,50,Wolves,WOL,GKP
444,Andreas,Söndergaard,39,Wolves,WOL,GKP
452,John,Ruddy,43,Wolves,WOL,GKP
475,José,Malheiro de Sá,53,Wolves,WOL,GKP
611,Louie,Moulden,40,Wolves,WOL,GKP
621,James,Storer,40,Wolves,WOL,GKP
257,Ederson,Santana de Moraes,61,Man City,MCI,GKP
260,Zack,Steffen,44,Man City,MCI,GKP
593,Scott,Carson,39,Man City,MCI,GKP
615,Cieran,Slicker,40,Man City,MCI,GKP
313,Michael,McGovern,39,Norwich,NOR,GKP
314,Tim,Krul,45,Norwich,NOR,GKP
448,Angus,Gunn,40,Norwich,NOR,GKP
666,Jon,McCracken,40,Norwich,NOR,GKP
376,Ben,Foster,41,Watford,WAT,GKP
389,Daniel,Bachmann,42,Watford,WAT,GKP
